y(cm),Qn,Qp,Ce,Cn,Cp,QTLD - C,C/E
46.35/SS,1.42E-16,2.06E-16,0.1,2.70,1,2.44E-16,1.03
53.3/SS,4.05E-17,7.17E-17,0.07,2.78,1,7.96E-17,1.02
60.05/SS,1.15E-17,2.64E-17,0.05,2.90,1,2.81E-17,1.05
66.9/SS,3.18E-18,9.55E-18,0.05,3.00,1,1.00E-17,1.14
73.9/SS,8.77E-19,3.42E-18,0.05,3.09,1,3.56E-18,1.08
80.6/SS,2.66E-19,1.35E-18,0.05,3.19,1,1.39E-18,1.12
87.25/SS,8.19E-20,5.01E-19,0.05,3.29,1,5.14E-19,1.11
91.65/SS,3.65E-20,1.82E-19,0.05,3.39,1,1.88E-19,0.86
95.36/SS,1.76E-20,8.96E-20,0.05,3.50,1,9.27E-20,1.01
97.56/Cu,2.78E-21,5.81E-20,0.05,4.54,1.05,6.16E-20,1.05
99.76/SS,8.03E-21,3.86E-20,0.05,3.65,1,4.01E-20,1.12
101.96/Cu,1.66E-21,2.77E-20,0.05,5.12,1.05,2.95E-20,1.11
